,species,th_d,zchip,th_m,phi_m,v_esc
0,$^{88}$Sr,0.47123889803846897,129479.95752322358,0.0,0.0,2.421875
1,$^{88}$Sr,0.47123889803846897,129479.95752322358,0.0,0.2617993877991494,2.421875
2,$^{88}$Sr,0.47123889803846897,129479.95752322358,0.0,0.5235987755982988,2.421875
3,$^{88}$Sr,0.47123889803846897,129479.95752322358,0.0,0.7853981633974483,2.421875
4,$^{88}$Sr,0.47123889803846897,129479.95752322358,0.0,1.0471975511965976,2.421875
5,$^{88}$Sr,0.47123889803846897,129479.95752322358,0.7853981633974483,0.0,0.46875
6,$^{88}$Sr,0.47123889803846897,129479.95752322358,0.7853981633974483,0.2617993877991494,0.3125
7,$^{88}$Sr,0.47123889803846897,129479.95752322358,0.7853981633974483,0.5235987755982988,0.234375
8,$^{88}$Sr,0.47123889803846897,129479.95752322358,0.7853981633974483,0.7853981633974483,0.234375
9,$^{88}$Sr,0.47123889803846897,129479.95752322358,0.7853981633974483,1.0471975511965976,0.234375
10,$^{88}$Sr,0.47123889803846897,129479.95752322358,1.5707963267948966,0.0,0.3125
11,$^{88}$Sr,0.47123889803846897,129479.95752322358,1.5707963267948966,0.2617993877991494,0.234375
12,$^{88}$Sr,0.47123889803846897,129479.95752322358,1.5707963267948966,0.5235987755982988,0.15625
13,$^{88}$Sr,0.47123889803846897,129479.95752322358,1.5707963267948966,0.7853981633974483,0.15625
14,$^{88}$Sr,0.47123889803846897,129479.95752322358,1.5707963267948966,1.0471975511965976,0.15625
15,$^{88}$Sr,0.47123889803846897,129479.95752322358,2.356194490192345,0.0,0.46875
16,$^{88}$Sr,0.47123889803846897,129479.95752322358,2.356194490192345,0.2617993877991494,0.390625
17,$^{88}$Sr,0.47123889803846897,129479.95752322358,2.356194490192345,0.5235987755982988,0.3125
18,$^{88}$Sr,0.47123889803846897,129479.95752322358,2.356194490192345,0.7853981633974483,0.234375
19,$^{88}$Sr,0.47123889803846897,129479.95752322358,2.356194490192345,1.0471975511965976,0.234375
20,$^{88}$Sr,0.47123889803846897,129479.95752322358,3.141592653589793,0.0,2.421875
21,$^{88}$Sr,0.47123889803846897,129479.95752322358,3.141592653589793,0.2617993877991494,2.421875
22,$^{88}$Sr,0.47123889803846897,129479.95752322358,3.141592653589793,0.5235987755982988,2.421875
23,$^{88}$Sr,0.47123889803846897,129479.95752322358,3.141592653589793,0.7853981633974483,2.421875
24,$^{88}$Sr,0.47123889803846897,129479.95752322358,3.141592653589793,1.0471975511965976,2.421875
